LAST_TO_END,FLIGHT_COUNT,SEG_KM_SUM
14,59,108263
1,98,99128
12,87,104670
39,25,118355
23,48,88016
13,53,59280
10,31,82721
12,61,102513
2,54,87327
2,68,83233
5,80,110571
2,70,91869
2,61,71334
9,59,96238
3,71,108053
67,9,75093
33,43,63261
12,65,81718
1,118,113715
27,31,57054
34,13,123460
11,105,100538
108,54,97929
4,39,53274
2,67,83561
24,43,93927
3,78,91540
1,77,119849
2,33,60387
25,67,107438
1,34,52371
82,40,104027
34,47,57546
14,49,98276
3,39,106909
8,47,102319
4,72,97247
113,30,55190
123,21,54220
1,62,88473
3,31,95165
5,85,115578
376,18,70739
22,41,56029
71,12,112511
10,88,99522
4,43,103564
2,53,84028
20,56,65103
32,80,114222
24,42,53030
1,79,103403
96,30,85368
12,30,55918
23,38,100035
25,49,100244
1,122,91128
7,60,99311
2,86,96033
39,6,73392
235,6,73392
24,59,105575
3,68,85336
1,62,87492
72,38,57596
6,104,99462
21,45,113659
1,59,104352
11,57,95289
36,58,103107
11,78,109710
11,38,55596
8,31,55642
24,91,114600
1,82,118887
109,34,66320
3,54,98038
38,51,80432
4,62,91853
11,101,86102
3,98,90418
2,67,99772
1,58,82250
10,45,72849
1,45,77987
15,55,83780
31,38,113467
5,53,85130
56,39,57001
9,51,92227
9,11,81937
60,31,52216
7,51,93929
7,67,95559
75,65,95518
14,22,54730
1,64,101534
15,70,117261
14,73,97885
25,55,91097
30,59,88730
6,63,84128
6,113,109075
3,72,60674
4,122,87871
3,79,98039
19,78,81033
15,45,97205
2,78,100891
42,75,78024
1,72,103478
180,45,80074
107,47,105448
2,61,57474
88,10,111277
14,32,79748
1,57,92596
85,58,51359
20,34,99007
28,45,108968
15,66,99380
11,52,54902
4,103,126385
61,61,82229
2,32,68796
3,92,81252
6,58,94789
1,80,100890
8,46,82198
14,85,96524
53,15,87979
26,55,53082
9,70,90676
4,84,88600
5,85,94910
8,51,103334
5,66,87096
30,13,75939
6,85,87222
11,83,84586
6,89,76929
4,85,88084
20,53,100834
1,92,93608
15,54,73594
6,78,92961
5,45,94176
21,57,96770
18,44,94505
1,78,97688
13,69,122130
13,91,94399
4,56,99083
4,44,69243
7,72,92591
287,49,81119
1,37,107668
4,88,94053
9,84,101344
12,58,96418
4,60,107228
3,9,91224
151,11,95158
10,33,94251
46,72,108362
29,38,57045
130,27,72382
8,35,71526
5,84,94699
31,27,83430
87,55,91229
2,25,60909
76,24,104992
404,48,109680
7,65,85774
5,67,107942
44,37,96596
5,68,49054
15,75,94885
10,78,95712
18,29,93670
4,61,91722
1,110,94212
67,26,50464
7,62,82613
29,61,97269
9,62,103017
37,53,93161
9,28,48681
7,67,105406
18,79,79187
4,26,74707
20,60,79936
25,47,85104
22,47,93009
6,47,69445
5,52,50564
19,12,86872
12,47,55930
14,64,95009
14,50,91885
86,11,79822
8,49,95617
7,43,76616
8,59,93989
3,89,97760
39,50,66551
2,60,59525
12,50,86754
4,60,102459
6,67,94955
5,40,56236
2,46,51348
4,82,83895
34,56,91642
27,9,110088
148,28,48738
30,65,105426
14,39,57173
5,63,90448
72,17,60715
27,8,75179
3,84,110523
18,37,90444
29,80,100267
3,45,82181
14,93,83778
21,44,51657
2,69,84501
20,82,97301
1,78,88944
3,69,98985
19,84,92064
1,64,104064
10,11,111496
2,87,99343
9,36,103715
31,58,93874
4,45,89241
3,78,82663
58,51,70410
6,81,94452
1,67,86831
12,83,93223
48,38,79321
4,47,79014
74,75,94837
7,50,91158
5,43,96346
2,103,98576
16,53,58456
13,59,106818
220,40,84144
5,92,90054
85,23,97363
18,74,75406
117,31,48504
5,66,104974
1,114,106887
44,8,97856
7,74,87556
12,74,95970
48,45,93363
38,19,67361
22,51,49694
87,9,64966
11,53,70959
10,63,89864
32,27,49859
9,39,101074
2,82,98222
40,52,99663
4,60,95528
21,15,102029
119,64,86680
4,128,122933
17,21,58554
81,49,74209
6,68,95591
14,52,89362
2,66,91139
25,43,56979
18,79,102497
7,88,95204
7,62,84141
4,76,106316
9,61,93582
69,63,108742
13,99,89194
6,59,96721
3,35,84602
25,93,93800
6,55,86833
24,50,86748
16,83,119272
4,54,87334
28,67,99876
92,44,78334
1,71,83498
77,8,97856
8,67,107343
14,66,95500
5,37,49165
2,45,64879
2,88,82559
7,74,87838
97,55,83607
2,63,90250
1,96,106628
9,63,82060
4,66,86473
25,65,92968
175,9,89386
28,24,58285
18,38,47103
11,75,104980
3,42,82833
18,48,76188
3,84,79768
9,48,103296
1,38,90002
14,41,77675
20,59,80922
64,15,73334
15,50,89808
7,98,93582
9,70,72324
15,53,75761
112,23,47595
4,60,88340
36,34,84475
16,46,97431
3,66,96751
22,64,89491
6,58,49869
12,97,115517
61,50,83383
4,73,107221
2,63,101041
2,55,101325
13,83,101114
5,37,80277
11,54,59159
94,56,73248
5,54,80811
5,77,94466
263,17,90438
3,61,99005
27,24,75020
68,25,77593
2,75,91756
3,62,87570
6,8,81088
27,47,108535
5,77,51017
16,93,78812
2,45,53533
16,84,92563
6,42,74786
4,31,53936
1,62,87482
3,27,46587
1,95,81511
2,65,88117
3,60,90460
21,33,83267
437,31,110216
18,54,88445
5,42,95736
6,69,74659
7,62,87599
16,57,96789
5,68,89790
1,128,98649
7,76,86218
6,67,103410
14,56,87501
52,63,86986
9,56,97831
1,76,94455
22,31,82520
6,70,88915
66,40,89451
7,86,81293
30,8,97856
2,38,74979
10,75,82533
32,28,58744
3,58,92630
6,56,94125
7,66,104688
3,60,85396
3,108,76956
28,10,111243
50,21,85913
31,17,67111
4,71,78274
1,83,98330
60,42,96446
25,62,88828
23,32,118596
2,59,82148
6,45,75513
2,62,65751
51,61,96606
2,60,94677
107,25,99217
1,103,94561
34,64,80426
8,66,79955
17,53,55075
144,71,81869
6,43,53080
10,71,84420
9,48,78464
9,60,82184
2,34,84604
3,49,78459
2,43,93727
35,57,90166
4,81,91228
17,66,87963
9,33,84484
20,55,103053
107,10,89033
67,10,100784
30,34,87913
7,39,81039
10,50,96270
3,60,96998
2,116,83165
217,32,46488
1,74,99702
6,13,77042
60,28,47951
14,50,95085
16,71,91365
49,51,86803
12,63,91024
63,40,52906
2,64,89078
2,34,47751
11,45,80817
39,11,89648
2,39,83889
1,101,82033
71,10,98764
2,45,90950
35,46,88065
3,82,87360
265,11,90291
15,61,98900
6,30,83790
1,97,93299
4,88,87325
19,18,94550
65,43,99065
1,81,84659
28,25,84429
6,13,98379
42,71,76605
9,91,83244
1,76,74101
11,48,93831
6,9,110088
3,59,98344
57,28,80963
23,26,50024
289,18,94161
57,23,47238
15,89,96608
1,43,93049
224,7,62686
68,25,44870
14,59,86620
5,53,86686
12,56,80865
90,35,55938
12,51,53198
5,51,84896
255,5,61160
13,39,49396
65,15,65979
11,63,85096
5,52,56462
4,73,78754
4,26,47873
11,57,80646
2,77,90123
6,71,83712
2,95,74066
5,40,69761
2,28,91701
5,73,95647
131,43,85974
8,25,52450
47,63,80675
4,49,75477
22,46,89271
314,10,100472
2,59,80541
38,9,91224
2,81,75182
87,7,85624
2,75,60283
4,107,79501
1,73,80241
4,65,96693
3,76,71746
32,64,93264
24,34,95000
32,67,89045
57,39,56993
44,28,43915
24,71,88022
28,12,85695
6,54,80475
13,50,47419
18,63,90508
16,47,95635
7,52,88665
4,30,43997
26,50,79538
7,67,115950
33,51,79381
70,75,77582
10,61,98657
123,6,62259
5,72,90317
14,77,86916
74,19,50352
4,46,81221
1,49,76772
5,93,78991
45,29,93643
15,49,93195
11,62,83902
8,36,77225
13,78,80399
90,20,89005
33,36,53142
41,11,84655
8,54,77036
28,33,43164
31,35,45965
104,44,68873
5,48,80586
345,9,67245
1,49,75716
9,55,88604
5,19,48560
86,5,61160
1,82,86882
22,40,99177
4,81,85753
3,61,99202
5,54,88586
100,7,85624
31,40,70631
12,62,81546
17,48,48815
18,52,73187
2,42,56487
20,42,80686
11,69,89629
130,26,43810
2,71,76572
15,58,94925
230,13,79971
5,42,61051
23,37,75552
10,82,90889
9,75,100319
144,31,42750
6,49,95380
11,76,82886
39,41,82668
11,70,80023
21,70,83798
36,50,73964
10,59,70841
2,41,43296
2,80,63090
26,44,82596
77,34,78078
27,35,74052
9,60,73500
11,54,79706
6,46,87839
37,51,52044
10,65,78842
35,60,104351
78,49,56791
20,65,79460
20,53,83213
3,62,80734
24,50,110765
214,47,101838
66,37,62604
33,49,86330
16,40,80889
7,47,80833
1,51,81466
2,63,90863
5,58,84039
3,57,83010
25,79,90194
5,64,81662
24,42,45445
7,71,79337
21,34,91793
6,58,65833
12,75,75269
1,35,54134
1,28,79765
3,49,89006
2,10,83564
32,58,90921
17,34,102881
10,32,42050
57,14,86722
11,87,71979
12,54,71954
67,20,83302
5,34,84253
120,30,46508
26,36,47888
8,46,85335
220,53,45414
8,15,97250
6,95,76026
49,52,75015
6,64,94526
5,38,85034
461,51,67167
8,48,78489
16,65,73962
93,23,41859
5,55,72751
7,58,64594
15,31,75610
10,78,80959
3,54,67130
12,58,64240
18,37,84950
3,43,79376
3,57,87540
2,62,91011
23,59,84795
88,10,103500
22,36,68760
32,58,74908
5,45,78758
8,81,73941
11,60,88186
3,62,72630
24,26,44816
19,28,42440
7,56,86835
11,75,79162
86,7,58856
62,74,76240
7,45,72869
11,47,81560
4,53,70743
23,8,86723
2,67,73170
5,77,88662
1,68,82504
15,57,66811
4,40,51323
40,45,83981
16,62,79286
13,57,71068
34,57,88302
10,77,94463
2,28,72750
12,40,83080
356,7,62499
5,61,85126
7,50,71439
3,41,74057
53,28,45672
1,41,79948
1,57,81750
6,40,43971
102,50,63915
121,11,70903
34,11,74784
10,45,75360
50,32,92386
12,55,91409
37,62,79377
36,38,54418
34,33,41717
5,44,77388
12,75,75387
5,80,46786
14,31,84213
22,55,95097
9,54,70492
188,15,78406
6,69,80779
41,18,76005
53,10,88788
6,62,96120
4,48,90522
69,9,74714
41,63,84674
417,11,73370
21,61,90278
21,55,76308
3,29,76647
4,46,76109
8,21,73122
6,61,93107
46,30,105909
58,43,79095
193,7,85624
4,81,82484
42,31,49504
16,56,79405
20,44,41743
5,30,42562
2,65,73072
57,10,75964
18,59,84722
103,35,42697
7,42,65658
15,60,81648
201,47,90546
3,81,78220
4,62,68784
4,45,78301
46,42,60518
62,42,85269
199,7,53692
25,49,72864
2,64,101898
7,29,41192
8,27,45867
26,33,71908
17,60,83201
5,71,74124
3,45,81578
14,40,64345
11,48,78250
13,68,75428
1,91,72913
279,30,66574
4,55,72305
33,61,80829
68,31,52138
2,85,76910
22,76,80079
4,65,79988
2,68,80245
19,109,83362
15,90,63771
9,41,83804
146,67,87169
25,57,72377
266,7,85624
9,32,46358
62,47,87515
38,33,50530
26,49,78353
2,67,96735
10,54,78534
11,16,81414
22,51,79538
31,17,95007
41,82,69588
18,39,69083
23,41,68390
7,56,92694
10,24,97867
5,37,41818
14,39,83226
38,65,89309
16,27,46514
18,64,79497
6,29,68743
9,34,85416
68,46,73101
16,38,54795
20,43,75115
6,52,68969
18,57,75446
16,47,65982
26,21,45128
14,47,63694
15,45,74632
1,35,63799
6,80,73557
18,18,80843
38,20,53323
30,56,74586
4,49,73499
17,68,76061
77,6,73392
2,54,127679
40,21,67830
4,49,64070
2,68,87081
13,70,85202
20,36,71104
11,25,43499
13,64,68124
1,51,69907
26,53,83854
1,37,77711
38,33,41928
6,22,46757
30,41,80545
5,66,92015
1,90,93966
5,63,70879
23,35,55902
3,35,85251
70,17,46397
68,41,69717
6,64,72921
8,54,63845
7,50,83834
12,47,63477
121,12,75167
1,55,85186
59,26,38789
12,14,102944
50,21,43318
1,76,73126
5,29,41143
23,32,84122
43,54,74377
12,32,55766
3,72,64322
44,37,76634
7,31,81933
4,31,73550
25,55,73722
11,40,81847
57,34,45522
77,5,61160
132,18,106154
11,60,85903
1,81,72708
19,63,72722
5,53,74641
4,50,68689
12,32,40592
3,59,70019
2,38,53772
3,76,73422
5,98,76335
14,41,79016
22,37,61733
21,44,43446
7,27,75917
8,62,76996
48,46,65102
7,55,82964
261,8,87591
4,63,69155
7,57,88153
2,40,66718
78,24,76925
8,57,76907
83,34,71479
14,69,72453
13,63,83598
101,44,81708
5,49,90688
20,59,79093
20,29,76647
7,63,72647
8,55,75656
28,41,67470
15,62,91815
10,71,67878
74,59,74381
2,95,76451
4,47,65003
26,20,40490
3,71,76763
147,10,76380
6,89,84070
13,45,68998
9,41,62887
17,69,92179
24,68,69358
12,45,74402
78,24,39737
11,56,85000
20,57,83433
5,48,74967
23,32,48252
3,51,77156
57,25,43886
4,39,62937
23,35,92839
1,96,81229
21,46,80667
3,73,74367
18,72,68331
146,58,64221
20,44,85760
1,45,86458
19,66,82541
36,42,79751
16,59,80298
33,51,81263
14,39,66327
12,31,38651
6,60,84179
187,45,69685
9,62,63825
29,44,68508
6,64,65406
1,53,75672
15,59,75046
2,44,88633
9,63,82031
55,28,78729
2,55,69808
8,43,74894
1,97,82733
27,16,61636
21,65,100156
163,6,73392
4,74,72093
1,44,61371
12,18,46690
12,61,71268
18,61,83349
3,48,51733
27,39,61168
109,29,67347
32,40,71180
6,69,71466
68,56,78490
8,47,76300
65,46,95433
14,56,66389
1,31,75246
5,15,80603
2,51,70932
7,70,59909
48,72,75203
11,36,80368
1,63,69106
5,85,62227
1,72,79481
288,30,79478
4,76,106400
354,21,39508
2,59,80323
3,56,76547
8,50,80994
1,50,83103
11,69,76532
413,54,79160
19,58,62719
1,51,73629
9,61,69082
13,50,55778
34,47,72918
405,8,85808
9,72,80691
4,70,85144
5,64,72112
4,49,91281
22,34,50289
25,38,63860
24,21,78418
17,64,86513
1,77,74127
2,104,84578
6,44,79843
67,83,70100
91,6,62468
16,81,75769
27,38,60286
23,71,94420
26,33,64140
33,54,69289
59,9,55777
1,43,71266
49,47,64549
25,28,37966
17,42,71691
9,58,70720
97,29,40512
10,52,69546
2,63,80760
7,78,63841
2,174,68891
10,67,73322
15,53,70809
5,71,72608
2,41,72573
6,52,65494
76,36,60161
18,50,82644
58,39,59983
56,21,39984
12,47,84222
16,20,43133
33,51,77134
1,53,68853
1,49,81236
37,50,85464
7,32,38568
39,30,80091
66,32,39703
22,61,87434
9,46,71424
3,72,76714
8,28,39634
3,30,82401
5,39,50287
16,27,41594
114,24,39764
93,7,85624
5,30,81736
6,46,64070
9,12,69857
2,36,38524
5,49,91574
16,66,74480
11,64,104131
6,42,71762
5,62,62432
59,31,67038
14,53,82420
9,47,56774
36,28,46337
70,35,61578
24,68,76495
5,52,77850
2,95,62435
12,55,61764
18,66,70001
38,85,77413
22,63,68137
6,60,90640
146,12,84678
4,53,70758
90,29,43510
6,22,38318
2,72,71784
31,34,46983
1,76,66323
11,68,84174
38,47,77084
18,55,69597
81,6,73392
10,46,61573
65,39,72327
60,43,60055
1,24,65492
34,53,60147
67,43,63973
4,62,72933
280,6,53572
10,114,82801
14,61,64379
12,52,64867
18,44,68928
25,54,76493
85,12,76027
154,25,65115
27,29,80529
143,31,71469
6,43,75284
16,52,74029
95,23,40062
15,59,61407
24,56,67116
2,43,54877
4,27,68470
7,69,75480
2,77,56973
25,45,80124
1,63,68917
151,24,57573
8,38,78590
15,54,79184
1,85,78884
13,22,72667
21,24,71665
13,49,78672
102,25,71043
21,45,65606
141,24,92065
8,24,41244
6,8,57464
2,43,69691
2,63,77086
2,101,70218
214,9,56255
9,48,68401
3,47,79714
209,24,39015
8,47,83087
78,18,67449
6,57,67045
4,49,71335
14,48,65327
26,36,44577
15,35,72002
17,45,61290
2,48,61884
8,47,64999
12,53,56136
2,50,70542
11,50,40188
18,36,76745
33,55,64293
61,88,64009
3,25,71638
14,50,66595
63,45,84032
217,88,58884
72,27,71361
3,36,68792
110,24,40099
151,31,60318
19,39,56424
4,49,70620
39,55,66458
39,23,39624
8,65,95016
7,57,88425
1,36,73155
34,37,76465
18,62,77411
2,53,78663
3,53,79844
6,51,63366
50,33,63784
7,40,67591
31,37,38581
31,28,37203
1,69,84347
74,28,74758
13,56,70246
2,45,62443
2,71,60244
6,45,73867
7,29,74146
24,80,58714
5,30,39021
6,50,80065
35,43,58987
17,9,50971
10,53,70643
68,44,65329
34,34,62997
34,50,63003
13,66,41981
5,56,81326
37,26,65695
7,78,71556
11,27,71361
49,34,71847
2,19,38991
6,48,58282
11,45,38655
4,75,83606
18,31,79239
31,53,73785
3,21,36648
47,19,58589
8,28,83627
20,52,77107
83,49,72492
108,56,79156
62,47,74322
19,70,63555
10,45,81656
1,38,40307
13,55,64857
2,68,68714
2,40,57173
34,51,73865
7,48,70972
90,6,73392
22,35,39729
2,42,75833
244,26,68178
11,44,58029
97,40,58099
4,80,60819
2,61,94641
60,31,38349
22,36,68154
1,56,64788
153,15,77784
19,82,73921
44,20,58705
21,56,78399
1,25,37662
15,49,67656
27,49,74834
82,43,53829
5,62,66150
