,CustAccountBalance,TransactionAmount (INR),recency,age
77,27818.65,57.0,2911,33
78,257966.29,195.64,2911,56
79,6190.71,878.0,2911,56
80,34574.86,326.0,2911,39
81,8797.55,2997.02,2911,31
82,2988.21,1642.0,2911,33
83,21868.16,500.0,2759,40
84,13421.46,11.0,2759,40
85,1942.83,28.0,2759,28
86,23302.14,2200.0,2759,49
87,1880.1,1499.0,2759,35
88,121767.71,288.0,2759,39
89,6584.77,100.0,2759,38
90,100371.41,4000.0,2759,45
91,35990.54,930.0,2759,31
92,7330.62,2813.62,2759,51
93,98097.5,787.98,2759,42
94,4001.86,96.0,2759,35
95,78.33,179.0,2759,29
96,14916.95,830.0,2759,36
97,62706.81,3380.0,2759,34
98,22588.09,810.0,2759,46
99,37588.84,1473.5,2759,37
100,96.2,1897.0,2759,37
101,31121.47,974.0,2759,42
102,2298.51,50.0,2759,36
103,77587.52,500.0,2759,52
104,76185.83,1826.0,2759,56
105,3214.87,2898.78,2759,46
106,755133.35,1803.0,2759,42
107,27388.25,205.0,2759,46
108,27552.35,164.0,2759,33
109,40664.53,2245.95,2759,30
110,12.01,59.0,2759,31
111,116592.57,1480.0,2790,34
112,8588.5,1.0,2790,32
113,33.01,40.0,2790,31
114,172.63,599.0,2667,32
115,139144.83,2066.74,2667,40
116,75348.06,250.0,2667,36
117,241139.36,25.0,2667,39
118,6023.36,478.0,2667,34
119,654.36,1000.0,2667,37
120,140830.97,895.0,2667,35
121,23541.54,500.0,2667,37
122,5337.59,385.0,2667,34
123,51939.21,457.0,2667,41
124,87839.68,1747.0,2667,36
125,122636.69,60.0,2667,32
126,12.54,200.0,2667,39
127,923.01,25.0,2698,31
128,440199.11,127.0,2698,41
129,11850.45,1150.0,2698,31
130,25963.21,155.0,2698,32
131,19.83,40.0,2698,32
132,65486.49,250.0,2820,32
133,171927.54,150.0,2820,34
134,32855.8,75.0,2820,34
135,12783.53,50.0,2820,33
136,3186.2,10885.0,2820,35
137,22771.72,530.6,2820,36
138,20594.64,555.0,2820,36
139,22880.95,5757.0,2820,33
140,35790.14,777.0,2820,38
141,45299.78,2124.0,2820,27
142,1551.84,20.0,2820,39
143,228872.29,405.52,2820,91
144,43555.69,355.0,2820,29
145,4402.08,245.0,2667,41
146,54033.57,360.0,2667,34
147,179.99,955.0,2667,29
148,29436.97,70.0,2667,32
149,12010.4,299.0,2667,34
150,700.0,1500.0,2667,223
151,43375.42,1986.5,2667,38
152,8111.52,1274.0,2820,33
153,4311.29,149.0,2820,36
154,2495.98,110.0,2820,36
155,156103.2,2297.0,2820,64
156,2502.37,170.0,2820,44
157,12.97,101.0,2820,31
158,20892.73,1665.0,2667,44
159,191276.9,217.0,2667,34
160,21756.67,500.0,2667,32
161,5.37,1020.0,2667,35
162,24824.83,5000.0,2667,223
163,171.65,300.0,2667,33
164,5391.22,1800.0,2667,37
165,43571.2,2074.0,2667,30
166,116584.57,210.0,2667,30
167,51694.63,100.0,2667,32
168,119.47,500.0,2667,32
169,0.74,100.0,2576,27
170,63972.18,451.0,2576,33
171,9526.7,100.0,2576,33
172,75889.12,599.0,2576,34
173,41319.3,825.0,2576,34
174,8.49,80.0,2576,33
176,3042.12,2830.5,2576,43
177,27940.79,1328.72,2576,27
178,190073.86,50.0,2576,42
179,10074.33,8.99,2576,31
180,8179.54,456.0,2576,35
181,9702.54,2580.0,2576,223
182,11.98,2117.0,2576,44
183,4597.56,64.0,2698,31
184,407935.95,500.0,2698,34
185,556731.79,26991.0,2698,35
186,22660.58,851.0,2698,37
187,5738.43,600.0,2698,42
188,17449.33,306.0,2698,35
189,114.92,390.0,2698,223
190,0.7,150.0,2698,29
191,26239.0,380.0,2698,39
192,133203.58,100000.0,2729,223
193,359.23,60.0,2729,32
194,268685.24,1220.0,2729,56
195,1130141.97,614.0,2729,45
196,1223.92,69.0,2729,48
197,28758.9,980.0,2729,49
198,10492.25,148.0,2729,35
199,1123.68,440.0,2729,31
200,4546.07,148.0,2729,30
201,104.57,2134.4,2729,34
202,33661.57,496.07,2729,43
203,1133.27,100.0,2729,38
204,4650.59,192.0,2729,30
205,1867210.51,137890.0,2729,223
206,132699.5,500.0,2729,39
207,28710.33,127.8,2729,42
208,6130.16,200.0,2729,35
209,46936.18,5887.0,2729,32
210,84.91,88.0,2729,27
211,13279.12,323.72,2729,34
212,85722.72,1378.0,2729,39
213,10.5,1131.0,2729,51
214,108913.62,500.0,2576,35
215,5117.84,15.0,2576,38
216,21457.34,100.0,2576,37
217,17920.6,200.0,2624,52
218,45812.85,518.0,2624,43
219,5795.3,203.12,2624,30
220,76385.67,1294.0,2624,34
222,16431.3,1119.0,2624,36
223,2.87,40.0,2624,31
224,26413.93,510.0,2624,44
225,801229.49,1550.0,2624,57
226,5407.86,149.0,2624,57
227,4044.37,40.0,2624,33
228,36278.83,500.0,2624,56
229,344.25,220.0,2624,34
230,3875.77,30.0,2624,32
231,121747.74,200.0,2624,34
232,40366.35,4200.0,2624,40
233,15693.31,200.0,2624,35
234,44164.97,3142.0,2624,37
235,121821.27,1219.04,2624,38
236,167.1,199.0,2624,36
237,6209.42,708.05,2624,36
238,930.8,100.0,2624,35
239,25296.5,2000.0,2624,50
240,20422.76,800.0,2624,57
241,15147.88,1000.0,2624,49
242,2257.58,460.0,2624,30
243,5724.5,4478.0,2624,223
244,78122.46,47290.0,2624,52
245,324551.5,25000.0,2624,40
246,362200.72,53000.0,2624,223
247,41268.37,35.0,2624,36
248,22802.23,100.0,2624,37
249,13996.1,100.0,2624,49
250,48587.19,1595.0,2624,40
251,174684.91,283.0,2624,34
252,7948.27,68.0,2624,34
253,155684.44,3034.5,2624,30
254,17555.91,110.0,2624,33
255,168034.54,10.0,2624,37
256,4459.73,2870.0,2624,43
257,9236.65,259.0,2624,33
258,13592.65,1128.37,2624,34
259,134969.65,2200.0,2624,46
260,7967.47,330.0,2624,50
261,444234.73,201.0,2624,223
262,16369.59,30990.0,2624,223
263,9158.59,899.0,2624,40
264,1318.31,110.0,2624,29
265,1629.89,500.0,2624,39
266,7211.41,4740.0,2624,223
267,17146.97,200.0,2624,32
268,31369.53,1735.0,2624,35
269,10266.36,327.0,2624,24
270,1426.19,6652.72,2624,223
271,10016.68,412.65,2624,30
272,394220.21,42.0,2624,36
273,16475.24,128.0,2624,40
274,56450.72,722.0,2624,39
275,56736.02,1488.0,2624,40
276,4341.39,50.0,2624,31
277,181.22,200.0,2624,38
278,46278.49,1300.0,2624,58
279,38506.22,610.0,2624,37
280,28012.42,655.0,2624,41
281,100780.55,1203.0,2624,35
282,36724.28,600.0,2624,38
283,78479.33,18.0,2624,38
284,28185.38,1720.0,2624,32
285,8585.51,1150.0,2624,30
286,462.12,2647.0,2624,32
287,390.04,567.0,2624,37
288,71403.21,1000.0,2624,37
289,52608.41,11364.0,2624,38
290,30809.31,350.0,2624,51
291,25419.25,1890.0,2624,45
292,184680.72,50.0,2624,31
293,7486.12,1000.0,2624,24
294,63.58,634.12,2624,42
295,82130.58,1423.0,2624,44
296,32511.6,1870.0,2624,35
297,7336.76,50.0,2624,36
298,60659.23,2968.0,2624,41
299,25471.44,620.0,2624,35
300,72118.89,699.0,2624,36
301,133.8,2400.0,2624,39
302,150501.26,357.0,2624,223
303,951.07,21060.0,2624,41
304,5393.9,45.0,2624,29
305,96798.63,550.0,2624,36
306,5950.17,969.0,2624,82
307,9464.85,30.0,2624,31
308,342.98,50.0,2624,27
309,2540.13,94.0,2624,32
310,17907.01,400.0,2624,38
311,9.57,221.75,2624,39
312,137410.23,36500.0,2624,69
313,812.53,25.0,2624,30
314,177950.63,865.0,2624,42
315,5802.91,695.0,2624,53
316,6090.05,50.0,2624,31
317,17761.95,600.0,2624,35
318,9643.67,550.0,2624,34
319,43114.86,2299.0,2624,37
320,176012.36,222.0,2624,38
321,10498.91,2249.0,2624,27
322,179659.4,999.0,2624,37
323,541701.53,1512.75,2624,48
324,161886.6,500.0,2624,223
325,21700.36,145.0,2624,39
326,9372.35,343.0,2624,42
327,55878.83,6129.0,2624,42
328,32.83,50.0,2624,33
329,9.68,100.0,2624,33
330,42734.8,465.0,2624,27
331,22.81,200.0,2624,42
332,111181.72,2821.0,2624,47
333,11162.85,50.0,2624,45
334,42160.52,800.0,2624,39
335,624345.66,1378.0,2624,43
336,645317.85,6458.0,2624,42
337,88207.21,211.0,2624,33
338,6826.87,232.0,2624,37
339,13630.73,216.0,2624,35
340,2643.71,200.0,2624,31
341,54843.8,75.0,2624,35
342,30858.02,300.0,2624,32
343,6752.89,50.0,2624,37
344,3274.6,21.0,2624,33
345,5767.88,28.0,2624,32
346,53306.02,5000.0,2624,47
347,3842.82,250.0,2624,31
348,18838.81,1200.0,2624,35
349,18381.01,100.0,2624,31
350,1559.32,2600.0,2624,32
351,138784.88,750.0,2624,32
352,103118.04,498.0,2624,38
353,92594.19,337.0,2624,44
354,30450.9,2000.0,2624,52
355,20697.68,285.0,2624,26
356,254.5,96.0,2624,38
357,28233.63,275.0,2624,35
358,23163.29,652.0,2624,33
359,112819.01,1168.0,2624,30
360,27961.15,1483.16,2624,44
361,85674.55,644.3,2624,36
362,84084.13,2605.0,2624,38
363,32286.34,1984.0,2624,51
364,7342.23,2187.0,2624,53
365,1441016.64,60000.0,2624,52
366,949.11,337.34,2624,29
367,98395.61,4592.0,2624,44
368,57385.53,28.0,2624,31
369,15997.41,100.0,2624,34
370,8394.17,103.0,2624,37
371,57048.4,3000.0,2624,43
372,60126.99,1048.0,2624,223
373,18181.91,708.0,2624,37
374,28941.17,990.0,2624,29
375,43272.64,219.0,2624,32
376,8451.61,2300.0,2624,29
377,14377.54,2000.0,2624,33
378,99466.74,350.0,2624,32
379,161.13,51.0,2624,31
380,9457.5,200.0,2624,33
381,29650.64,230.0,2624,37
382,3647.29,563.5,2624,35
383,128.84,0.0,2624,34
384,4115.34,510.0,2624,30
385,16390.37,644.0,2624,28
386,24299.04,388.0,2624,223
387,2717.23,13259.0,2624,31
388,3805.21,210.0,2624,47
389,1125922.25,4570.0,2624,2
390,172.91,237.0,2624,32
391,166521.05,240.0,2624,34
392,32651.06,300.0,2624,43
393,29316.59,519.0,2624,223
394,19152.89,1499.0,2624,26
395,2749.41,260.0,2624,35
396,21444.0,594.56,2624,38
397,9244.59,100.0,2624,39
398,41197.54,683.0,2624,37
399,77624.68,1221.0,2624,35
400,353229.25,395.0,2624,69
401,30076.34,506.0,2624,32
402,7169.16,650.0,2624,34
403,1266244.71,148.0,2624,48
404,2009.98,1354.0,2624,28
405,7666.47,80.0,2624,32
406,1376.97,397.0,2624,28
407,5335.89,50.0,2624,26
408,273790.97,171.0,2624,58
409,28233.63,275.0,2624,35
410,43575.38,875.0,2624,28
411,242579.54,2000.19,2624,51
412,19960.44,99.0,2624,38
413,22167.76,452.0,2624,41
414,26374.46,9075.0,2624,44
415,11138.19,200.0,2624,32
416,32968.38,205.0,2624,31
417,45069.57,490.0,2624,37
418,899.41,320.0,2624,223
419,38257.19,2696.0,2624,36
420,3216.94,580.0,2624,37
421,24563.99,261.0,2624,31
422,29131.45,466.0,2624,38
423,3788.48,300.0,2624,33
424,12813.03,197.0,2624,31
425,15715.27,754.0,2624,35
426,294839.25,2295.0,2624,39
427,103551.87,1456.5,2624,45
428,18235.62,402.0,2624,41
429,51579.97,397.0,2624,33
430,23063.11,100.0,2624,34
431,8365.12,240.0,2624,29
432,241794.04,485.0,2624,37
433,134.54,520.0,2624,31
434,1305.9,270.0,2624,42
435,4191.96,435.0,2624,28
436,2048.45,1000.0,2624,37
437,829.83,130.0,2624,29
438,14992.08,515.0,2624,31
439,13719.24,100.0,2624,38
440,8249.92,1845.0,2624,48
441,9153.16,187.0,2624,27
442,12659.59,10050.0,2624,36
443,42870.63,708.05,2624,39
444,2399.78,100.0,2624,31
445,634660.99,815.0,2624,46
446,2275.18,1742.0,2624,42
447,59092.52,450.0,2624,39
448,22307.41,98.0,2624,33
449,11596.26,88.93,2624,31
450,41989.1,240.0,2624,38
451,32785.84,1156.0,2624,35
452,98044.88,827.5,2624,32
453,75587.62,50.0,2624,37
454,15959.46,269.0,2624,36
455,1050.69,200.0,2624,36
456,2918.25,323.0,2624,32
457,25416.56,150.0,2624,54
458,27021.05,1396.0,2624,223
459,421792.18,919.0,2624,41
460,14132.92,732.0,2624,46
461,11313.61,276.0,2624,42
462,15260.46,250.0,2624,39
463,95544.02,1590.0,2624,42
464,44439.74,830.37,2624,33
465,3087.42,799.01,2624,223
466,3835.87,920.0,2624,36
467,92844.7,850.0,2624,46
468,3881.45,620.0,2624,49
469,19807.16,187.0,2624,33
470,39227.48,616.0,2624,38
471,96276.9,500.0,2624,34
472,21307.15,1250.0,2624,28
473,5476.53,162.0,2624,32
474,310.7,1000.0,2624,41
475,420379.48,147.0,2624,42
476,10087.29,252.0,2624,44
477,10616.71,259.59,2624,37
478,1057.77,790.72,2624,35
479,17535.04,110.0,2624,32
480,100.65,200.0,2624,34
481,1340.03,568.0,2624,37
482,6988.14,259.0,2624,36
483,1083916.5,192.0,2624,223
484,6661.03,110.0,2624,19
485,9252.2,200.0,2624,40
486,10794.98,92.0,2624,35
487,9007.33,775.0,2624,33
488,67084.47,1047.0,2624,37
489,647135.07,19.84,2624,45
490,2501.15,30.0,2624,30
491,47483.12,10000.0,2624,80
492,5767.88,75.0,2624,32
493,12658.58,5000.0,2624,41
494,98203.35,250.0,2624,53
495,18.38,184.0,2624,43
496,11778.81,200.0,2624,36
497,7811.65,459.0,2624,32
498,297.49,500.0,2624,34
499,52408.18,2248.0,2624,44
500,4559.27,655.0,2624,28
501,9230.77,120.0,2624,34
502,10577.72,1045.0,2624,39
503,4966.59,25.0,2624,41
504,126023.26,1990.0,2624,38
505,38457.11,526.0,2624,55
506,134.18,240.0,2624,36
507,30774.49,730.0,2624,33
508,33333.34,276.0,2624,34
509,25756.82,1500.0,2624,39
510,25927.38,13008.0,2624,36
511,9929.14,287.28,2624,29
512,47016.0,845.0,2624,33
513,54587.99,228.0,2624,32
514,18142.33,34.0,2624,33
515,397.97,50.0,2624,30
516,22686.03,450.0,2624,45
517,44145.13,1506.0,2624,37
518,34897.03,140.0,2624,29
519,14858.06,12.87,2624,26
520,27021.05,1200.0,2624,223
521,9923.12,100.0,2624,33
522,12868.45,484.0,2624,37
523,166.83,160.0,2624,25
524,3053688.58,1088.0,2624,223
525,1608.91,70.0,2624,34
526,386.27,1884.0,2624,38
527,351.28,3150.0,2624,34
528,59205.18,1795.0,2624,223
529,300634.98,9960.0,2624,223
530,447165.79,1610.0,2624,43
531,11438.82,780.0,2624,35
532,32417.7,261.0,2624,43
533,3551.0,200.0,2624,46
534,14500.31,15.0,2624,51
535,669628.11,210.0,2624,45
536,38570.47,500.0,2624,35
537,49019.49,512.99,2624,33
538,203711.21,1792.0,2624,36
539,139160.66,130.0,2624,35
540,422.26,2031.51,2624,47
541,662.21,258.0,2624,35
542,26390.69,333.0,2624,33
543,21667.38,170.0,2624,35
544,12831.13,180.0,2624,223
545,19643.65,380.0,2624,37
546,13144.9,1316.0,2624,32
547,43317.36,2268.0,2624,47
548,23207.49,1355.0,2624,35
549,9890.44,359.0,2624,32
550,19291.42,30.0,2624,31
551,62638.5,298.0,2624,41
552,769951.62,17000.0,2624,48
553,2759.06,23.0,2624,35
554,18706.74,1217.0,2624,35
555,62914.77,394.0,2624,223
556,11614.1,50000.0,2624,34
557,0.07,380.0,2624,43
558,4392.57,10.0,2624,31
559,60104.75,7200.0,2624,44
560,11349.54,849.0,2624,33
561,677018.63,197.0,2624,43
562,5566.9,127.0,2624,31
563,17139.61,2500.6,2624,49
564,28196.26,160.0,2624,36
565,4478.63,660.0,2624,34
566,2360.09,308.15,2624,35
567,5329.47,20.0,2624,37
568,12831.55,285.0,2624,45
569,24710.51,1475.0,2624,36
570,50003.39,1364.2,2624,33
571,17378.0,1622.0,2624,33
572,16177.44,2365.0,2624,43
573,137781.27,147.0,2624,223
574,24876.86,362.0,2624,32
575,12630.24,50.0,2624,32
576,31121.47,349.0,2624,42
577,2916683.97,6199.0,2624,55
578,57223.95,603.0,2624,38
579,43555.05,750.0,2624,33
580,65996.33,1708.0,2624,42
581,407051.95,790.0,2624,72
582,436243.84,239.8,2624,40
583,368504.91,1450.0,2624,40
584,27806.66,253.0,2624,33
585,100336.79,1000.0,2624,29
586,486804.15,1500.0,2624,45
587,10096.04,300.0,2624,44
588,696.66,100.0,2624,31
589,19314.61,460.0,2624,223
590,4622.3,20.0,2624,29
591,452702.93,25.0,2624,42
592,16275.48,3600.0,2624,37
593,55670.65,1225.0,2624,27
594,9142.87,100.0,2624,30
595,39799.66,22.0,2624,28
596,8446.57,5555.0,2624,36
597,1811.03,50.0,2624,31
598,13886.47,2000.0,2624,38
599,299840.26,100.0,2624,45
600,7.18,540.0,2624,31
601,6176.77,26.0,2624,38
602,260955.27,121.67,2624,39
603,1631.51,126.07,2624,30
604,17243.17,250.0,2624,31
605,92316.6,143.0,2624,33
606,149188.54,186.0,2624,35
607,19967.63,485.0,2624,33
608,98395.61,600.0,2624,44
609,29273.29,350.31,2624,42
610,143892.55,60.0,2624,37
611,315346.9,1695.0,2624,41
612,292159.14,108.0,2624,46
613,4418.57,340.0,2624,34
614,31.12,606.9,2624,63
615,526.84,100.0,2624,30
616,111071.61,202.0,2624,40
617,2517.66,500.0,2624,32
618,1341.12,2345.0,2624,43
619,82.94,699.0,2624,223
620,9643.97,500.0,2624,47
621,20000.29,1200.0,2624,223
622,5635.18,798.0,2624,29
623,107406.89,2415.0,2624,47
624,14817.46,195.0,2624,32
625,8559.68,840.0,2624,36
626,12073.25,1205.0,2624,30
627,4347.18,844.0,2624,40
628,8044.39,260.0,2624,29
629,1839.82,100.0,2624,36
630,13027.49,42.0,2624,36
631,31468.91,229.0,2624,33
632,4228.37,5.0,2624,33
633,571075.98,2188.25,2624,48
634,11393.7,578.4,2624,37
635,93654.64,2990.0,2624,37
636,11255.27,1119.2,2624,223
637,1907.42,1290.0,2624,45
638,1307115.42,108.39,2624,43
639,27594.57,200.0,2624,31
640,11717.07,100.0,2624,29
641,5993.42,1180.0,2624,43
642,35534.79,30.0,2624,33
643,5783.92,30.0,2624,31
644,168442.09,395.0,2624,36
645,64716.2,850.0,2624,38
646,8579.95,1731.0,2624,41
647,21750.29,400.0,2624,36
648,24691.34,1800.0,2624,40
649,447511.35,300.0,2624,29
650,3574.85,50.0,2624,32
651,28786.32,620.0,2624,41
652,24754.28,1625.0,2624,32
653,6302.22,170.0,2624,27
654,280237.87,300.0,2624,33
655,16735.91,200.0,2624,33
656,79291.13,255.0,2624,35
657,39.62,200.0,2624,30
658,123036.55,3150.0,2624,39
659,886.74,24.0,2624,32
660,539.83,717.0,2624,34
661,8818.79,2000.0,2624,33
662,0.0,13259.48,2624,47
663,187917.22,570.0,2624,50
664,2465.7,268.0,2624,30
665,40220.89,600.0,2624,31
666,9144.66,5349.0,2624,34
667,6845.26,30.0,2624,223
668,9875.27,4898.0,2624,38
669,11129.21,150.0,2624,40
670,11179.25,411.0,2624,33
671,33547.49,100.85,2624,47
672,141686.3,353.0,2624,36
673,525000.0,7600.0,2624,223
674,13504.55,340.0,2624,41
675,7087.18,318.0,2624,30
676,907860.31,426.0,2624,40
677,67582.99,4000.21,2624,52
678,91348.86,410.0,2624,42
679,62661.12,1904.0,2624,31
680,8349.68,186.0,2624,53
681,7713.36,263.0,2624,33
682,41836.46,1300.0,2624,34
683,720060.35,2000.0,2624,53
684,6446.24,321.0,2624,32
685,68194.71,1200.0,2624,31
686,33629.74,1320.0,2624,46
687,16221.29,959.0,2624,33
688,33734.43,2227.0,2624,37
689,7770.27,280.0,2624,67
690,16922.99,250.0,2624,31
691,1473749.77,209.0,2624,48
692,6211.61,177.0,2624,33
693,6037.2,2060.0,2624,38
694,3040.43,295.0,2624,35
695,2808.51,1540.0,2624,31
696,18837.33,30.0,2624,33
697,61244.37,72.0,2624,35
698,3113.28,1212.6,2624,31
699,13099.68,100.0,2624,32
700,38058.83,4330.0,2624,29
701,103023.35,440.0,2624,41
702,7955.08,1633.15,2624,47
703,166521.05,240.0,2624,34
704,27532.79,849.0,2624,31
705,37956.24,500.0,2624,223
706,37844.28,496.0,2624,33
707,3259.99,122.0,2624,37
708,472641.36,1630.0,2624,38
709,107.42,530.0,2624,36
710,2643.71,135.0,2624,31
711,200517.6,1264.0,2624,41
712,13807.28,3597.0,2624,37
713,2566.47,11.0,2624,25
714,4370.67,1004.0,2624,31
715,31450.41,310.0,2624,36
716,4331.24,190.0,2624,36
717,2140.87,80.0,2624,70
718,2875.21,10.0,2624,29
719,36492.35,5500.0,2624,223
720,14105.23,900.0,2624,36
721,14081.51,70.0,2624,36
722,3544.26,450.0,2624,33
723,160380.24,765.0,2624,33
724,3599.21,1800.0,2624,40
725,981.27,44.0,2624,76
726,3944.5,375.0,2624,29
727,5505.12,525.0,2624,39
728,9992.02,939.65,2624,46
729,23273.37,335.0,2624,34
730,4940.81,1200.0,2624,29
731,41679.4,300.0,2624,34
732,1112.66,3880.0,2624,31
733,854.89,275.0,2624,23
734,9031.72,300.0,2624,38
735,12770.53,36.0,2624,223
736,8329.81,1286.0,2624,36
737,5728.25,307.0,2624,37
738,5502.87,319.0,2624,33
739,19099.5,25.0,2624,26
740,121852.78,2550.0,2624,36
741,4149.06,700.0,2624,37
742,172190.26,399.0,2624,38
743,9057.37,259.0,2624,46
744,9452.08,20.0,2624,31
745,30357.07,4390.0,2624,29
746,78255.57,46.0,2624,26
747,2559.33,795.0,2624,36
748,68864.42,540.0,2624,39
749,4816.5,150.0,2624,32
750,2982.4,550.0,2624,30
751,57929.11,485.0,2624,41
752,1645.54,203.45,2624,30
753,31812.92,50.0,2624,44
754,20247.07,550.0,2624,36
755,89055.34,2003.0,2624,34
756,46325.73,1.0,2624,223
757,2712481.26,5900.0,2624,223
758,3113.28,162.0,2624,31
759,58748.93,4156.0,2624,54
760,7889.08,500.0,2624,32
761,21266.29,200.0,2624,36
762,10763.78,199.97,2624,32
763,1519.11,430.0,2624,34
764,48217.97,700.0,2624,50
765,2160.42,50.0,2624,29
766,149.62,30.0,2624,28
767,350601.29,1000.0,2624,40
768,524401.78,6610.0,2624,44
769,2168.98,724.0,2624,41
770,5017.13,54.0,2624,31
771,114339.73,50.0,2624,38
772,683314.53,1997.0,2624,38
773,3222.78,500.0,2624,27
774,66773.67,140.0,2624,31
775,676668.92,1757.5,2624,42
776,572.78,149.0,2624,34
777,160030.28,2910.0,2624,33
778,36345.9,220.0,2624,30
779,6540.79,180.0,2624,29
780,3722.83,10.0,2624,32
781,32956.34,100000.0,2624,59
782,12890.08,291.0,2624,39
783,14915.03,999.0,2624,34
784,7289.39,64.55,2624,34
785,307628.28,250.0,2624,40
786,33059.28,250.0,2624,34
787,21388.11,1443.0,2624,39
788,354353.48,15578.22,2624,63
789,1713.1,190.0,2624,38
790,7833.16,5867.0,2624,32
791,191276.9,200.0,2624,34
792,1006498.62,121.51,2624,34
793,14571.3,147.0,2624,28
794,52114.37,112.0,2624,31
795,25265.5,500.0,2624,26
796,123607.92,1780.0,2624,29
797,72382.65,50.0,2624,39
798,74865.07,1326.5,2624,44
799,8702.26,470.0,2624,45
800,45907.8,308.0,2624,40
801,297159.82,690.0,2624,37
802,1265.81,1000.0,2624,44
803,31359.46,267.0,2624,41
804,92924.88,1520.0,2624,223
805,283821.01,208.0,2624,49
806,21359.12,500.0,2624,44
807,306862.46,2000.0,2624,46
808,18025.83,2950.0,2624,31
809,6714.1,250.0,2624,36
810,191.41,1000.0,2624,38
811,56806.25,160.0,2624,35
812,2903.7,5168.0,2624,28
813,116788.08,500.0,2624,41
814,39594.11,100.0,2624,28
815,7395.68,275.0,2624,32
816,10849.69,1900.0,2624,46
817,44545.28,3943.0,2624,31
818,23321.73,730.0,2624,36
819,992.08,4275.0,2624,223
820,116255.65,3780.0,2624,43
821,15413.18,14.0,2624,29
822,63708.68,455.0,2624,223
823,107338.47,265.0,2624,36
824,20662.95,100.0,2624,41
825,51319.3,235.48,2624,31
826,2739.66,2000.0,2624,30
827,46291.99,214.0,2624,36
828,9923.71,501.0,2624,26
829,100982.2,3490.0,2624,39
830,14677.97,612.1,2624,38
831,38480.89,1080.01,2624,36
832,57556.28,420.0,2624,41
833,11650.66,1903.0,2624,34
834,3792.01,159.0,2624,28
835,8641.87,720.0,2624,41
836,99260.38,2629.32,2624,34
837,3318.79,5750.0,2624,38
838,1150.07,80.0,2624,35
839,1959.28,1128.0,2624,40
840,21568.45,270.0,2624,63
841,33056.83,1779.0,2624,34
842,13175.72,2000.0,2624,36
843,547068.08,2000.0,2624,50
844,110091.54,500.0,2624,37
845,2341.18,10.0,2624,31
846,1864.86,50.0,2624,32
847,3050.07,3285.0,2624,31
848,132104.38,575.0,2624,37
849,852.89,1000.0,2624,33
850,139876.6,2500.0,2624,35
851,5.16,80.0,2624,32
852,2635.19,210.0,2624,37
853,246875.72,3380.0,2624,223
854,18454.26,14.0,2624,30
855,62.53,599.0,2624,223
856,39.62,50.0,2624,37
857,37077.06,137.7,2624,35
858,32713.81,284.0,2624,40
859,1637.95,50.0,2624,32
860,36904.5,50.91,2624,43
861,10815.81,2998.0,2624,223
